,buy_1,buy_2,buy_5,buy_7,buy_9,buy_10,buy_11,buy_12,buy_15,buy_16,buy_17,buy_19,buy_21,buy_27,buy_28,buy_29,buy_30,buy_31,buy_32,buy_34,buy_35,buy_38,buy_39,buy_48,buy_55,buy_56,buy_62,buy_63,buy_64,buy_109,buy_124,buy_161,buy_164,buy_165,buy_166,buy_198,buy_301
buy_17,0.031204653505517738,0.19708882761427415,0.2781247554300439,0.5152118933312737,0.34423406506792825,0.4731662748023688,0.7718202984015399,0.11557020564354897,0.1706619639783384,0.008859592782258055,1.0,0.3357515146590385,0.24912919931386576,0.22674420588372102,0.1379008019970118,0.07728832597399833,0.12228735415408319,0.29691821309410493,0.29691821309410493,0.24028156238924725,-0.00461813238863863,0.18357592738382078,0.23055846640322783,-0.00461813238863863,0.3366694989821423,0.32847517975409735,,0.06576654137329609,0.11449086084722214,0.2650141118725974,0.028189762876395116,0.025475682561745882,0.08344728624550005,0.08344728624550005,0.033929429729813707,0.009812765470078474,0.2555127677928082
buy_19,0.02570896073660419,0.16835446850243607,0.15031980551660915,0.2395709446444149,0.13900668634505137,0.2430585912341664,0.31901047658649706,0.10838315675732628,0.27985113137309786,-0.0019087767156296081,0.3357515146590385,1.0,0.10145800771697408,0.24775289915639617,0.11152695508485347,7.82051308552781e-05,0.06084932658210633,0.12434398763343077,0.12434398763343077,0.19997072759442638,-0.0019087767156296077,0.13671002241864427,0.16483721545136137,-0.0019087767156296077,0.18068758486996098,0.16044672488574524,,0.12132415572519067,0.17859455729144985,0.18571341665411045,0.0048558430303615304,0.01496236010724836,0.0721518708640195,0.0721518708640195,0.03672482412182055,-0.003974531377167384,0.13789696206621954
buy_21,0.009900683003305436,0.09502191019348676,0.14103144571435286,0.26299661475587166,0.3833977857353511,0.3050581784114759,0.3302819101487567,0.01623056481531037,0.15273098225421142,0.01353410669636478,0.24912919931386576,0.10145800771697408,1.0,0.16620884954073625,0.005831670370031664,0.254422736824851,0.2289105540362524,0.8081687850182927,0.8081687850182927,0.27423055140676567,0.013534106696364758,0.2822102627281402,0.3577711500831818,0.013534106696364758,0.49674758397994295,0.46614121607349274,,0.03700410190469792,0.066116996496068,0.335130682394118,0.021335563433756685,0.0010723979475573406,0.043336979005648826,0.043336979005648826,0.13882309001664153,0.011680320088013701,0.34001094821415034
buy_27,0.019044534205751733,0.15988572959025685,0.12657483272067546,0.26975726031418507,0.19288566913924932,0.2802800940948514,0.2161831355376714,0.08706901819184103,0.20191669567307033,-0.0034213159450845352,0.22674420588372102,0.24775289915639617,0.16620884954073625,1.0,0.08426116564857151,-0.0007769598167277675,0.10104780594981043,0.23112120460579325,0.23112120460579325,0.43979455894284547,-0.0034213159450845387,0.23297693110652531,0.2940492001540575,-0.0034213159450845387,0.2835194045574329,0.25079587515283164,,0.10280657320728583,0.12335132121963757,0.362825644185676,-0.015196025939274554,-0.005587755768488632,0.12602766019711703,0.12602766019711703,0.1083935392300579,0.0343325027687522,0.280840203470791
buy_28,0.23694996018539857,0.051913830883291,0.10448714183798682,0.1168563480538865,0.02650289950270669,0.08625402950730629,0.11634786170647674,-0.0031699419009995323,0.013980653134448419,-0.0006961592350036753,0.1379008019970118,0.11152695508485347,0.005831670370031664,0.08426116564857151,1.0,-0.005776381102586288,0.01735873234294042,0.04290205084072245,0.04290205084072245,0.07767622673730853,-0.0006961592350036746,0.03410283273917377,0.03066398788364303,-0.0006961592350036746,0.06434774133874158,0.05069939719364056,,0.020535962576075102,0.07545918038101951,0.05289948918529999,-0.0030920423494299656,-0.001136979993551073,0.17562077076600638,0.17562077076600638,0.003853152643271218,-0.00144957065976901,0.06222470852111028
buy_29,-0.00995656615031616,-0.01166940766798895,0.0037667008196844666,0.057627756662382214,0.1367583569265899,0.054882897292568275,0.11198864901429686,-0.003019372395843597,0.018676722479178683,0.007759392369785921,0.07728832597399833,7.82051308552781e-05,0.254422736824851,-0.0007769598167277675,-0.005776381102586288,1.0,-0.12520763125258222,0.33621603677078554,0.33621603677078554,0.07793200106531815,-0.0049770478202508855,0.0846391039600554,0.08925387613301909,-0.0049770478202508855,0.04351690665520034,0.09603610661406216,,0.012183637704127722,0.014035570336182883,0.06137026956090305,-0.022105923273821864,-0.008128605517302889,-0.010008567803250615,-0.010008567803250615,0.056232453793258995,-0.010363408441266948,-0.1876053257791887
buy_30,-0.008323933711149131,0.02937606122913283,0.12195556899686422,0.16825866992178728,0.1674423486691144,0.17434436695729674,0.14473999875428303,0.013303114932519152,0.10490253110780927,0.010476162309775303,0.12228735415408319,0.06084932658210633,0.2289105540362524,0.10104780594981043,0.01735873234294042,-0.12520763125258222,1.0,0.2810848600264077,0.2810848600264077,0.1424261404687899,-0.0041609341521496365,0.15336966937486063,0.17625917003685168,-0.0041609341521496365,0.30670293640777,0.24111052782495496,,0.006719045285999362,0.036641901953846895,0.1366702278828542,-0.018481094503570442,0.038027236780165355,0.012162067331987911,0.012162067331987911,0.038648407574718525,-0.00866406385337277,-0.15684265760589755
buy_31,0.022351992244462906,0.09298155481641873,0.17456107394052753,0.32249832157188446,0.4437692276679503,0.3453493794299404,0.3855691637963736,0.05087696333370691,0.16994707533141354,0.011173223036843484,0.29691821309410493,0.12434398763343077,0.8081687850182927,0.23112120460579325,0.04290205084072245,0.33621603677078554,0.2810848600264077,1.0,1.0,0.36376684949905225,0.011173223036843484,0.37572633532909866,0.4520763099228308,0.011173223036843484,0.6076310170194492,0.5571088768285195,,0.0362385857425608,0.08822161681431055,0.41512680530505836,0.049626690378335975,0.01824831219298271,0.07437974859593653,0.07437974859593653,0.1825409527421775,0.01494394946448446,0.4211645584962248
buy_32,0.022351992244462906,0.09298155481641873,0.17456107394052753,0.32249832157188446,0.4437692276679503,0.3453493794299404,0.3855691637963736,0.05087696333370691,0.16994707533141354,0.011173223036843484,0.29691821309410493,0.12434398763343077,0.8081687850182927,0.23112120460579325,0.04290205084072245,0.33621603677078554,0.2810848600264077,1.0,1.0,0.36376684949905225,0.011173223036843484,0.37572633532909866,0.4520763099228308,0.011173223036843484,0.6076310170194492,0.5571088768285195,,0.0362385857425608,0.08822161681431055,0.41512680530505836,0.049626690378335975,0.01824831219298271,0.07437974859593653,0.07437974859593653,0.1825409527421775,0.01494394946448446,0.4211645584962248
buy_34,0.037373138165446566,0.147327201367347,0.10306562469806721,0.258766551524832,0.22832836891248712,0.28226827776534785,0.2417294605295594,0.07092732987301485,0.18554005789323277,0.01868193240863109,0.24028156238924725,0.19997072759442638,0.27423055140676567,0.43979455894284547,0.07767622673730853,0.07793200106531815,0.1424261404687899,0.36376684949905225,0.36376684949905225,1.0,-0.005384885928606325,0.24613099825073376,0.3564704864955623,-0.005384885928606325,0.4303118083956399,0.3985852078136768,,0.06129815406804162,0.10752186613179392,0.3886210995792509,0.038588763420043436,0.005945193761307031,0.09159433298626067,0.09159433298626067,0.11041351880874135,0.02348091649017531,0.29094950065677677
buy_35,-0.0003308793219593246,-0.001592631830338098,-0.002722346143361594,-0.005173821747918505,0.022706908715791774,-0.005543019967693526,0.016434041660770688,-0.0007531380177253175,-0.002704015201277981,-0.00016539861065167037,-0.00461813238863863,-0.0019087767156296077,0.013534106696364758,-0.0034213159450845387,-0.0006961592350036746,-0.0049770478202508855,-0.0041609341521496365,0.011173223036843484,0.011173223036843484,-0.005384885928606325,1.0,-0.005682304203588809,0.003567401159132139,1.0,0.018388170985165177,0.02005572609154944,,-0.0005734795217435112,-0.0014669670064466614,-0.0061451737439871855,-0.0007346300716231182,-0.0002701320356270228,-0.0011010526718943908,-0.0011010526718943908,-0.0027021764329800604,-0.00034439961593837903,-0.006234551355620212
buy_38,0.011831640571393508,0.061432500920370496,0.1294853969112511,0.2085488363372987,0.20807243436043954,0.22596826859406363,0.21863516405722688,0.050778285582750556,0.12409198937446632,-0.005682304203588799,0.18357592738382078,0.13671002241864427,0.2822102627281402,0.23297693110652531,0.03410283273917377,0.0846391039600554,0.15336966937486063,0.37572633532909866,0.37572633532909866,0.24613099825073376,-0.005682304203588809,1.0,0.7742002760186342,-0.005682304203588809,0.2993082201228137,0.26404870693833443,,0.037260160449628175,0.12440973562115361,0.2772391643376769,-0.0226193508523134,0.026231816183550423,0.08147992323256856,0.08147992323256856,0.11317474745234618,0.0271748081595826,0.26750980802070445
